fid,Артикул,Название товара,Полное описание,Производитель,Цена продажи,Цена старая,Остаток,Изображения,Url,Подкатегория 1,ID товара в InSales,ID варианта товара в InSales
762,13031/03,Стакан для зубных щеток Timo Saona (13031/03) черный,"Стакан для зубных щеток Timo Saona 13031/03 с настенным держателем, материал латунь/стекло, цвет чёрный.

## Характеристики:

Коллекция: Saona

- Назначение: Стакан для зубных щеток
- Цвет аксессуара: Черный
- Материал: Латунь класса А,стекло
- Стакан сделан из стекла
- Глубина: 9.3 см 
- Размер стакана: 6.7 х 9.9 см

Комплектация:

- Стакан стеклянный - 1 шт.
- Держатель для стакана - 1 шт.
- Набор креплений - 1 шт.
- Инструкция - 1 шт.",TIMO,2415.0,0.0,10,https://static-ru.insales.ru/images/products/1/7252/486218836/medium_32353521-1.jpg https://static-ru.insales.ru/images/products/1/7253/486218837/medium_32353521-2.jpg,https://santitan.ru/product_by_id/269462060,Wildberries WB,269462060,467765626
763,160078/02,Полка для мочалок Timo Nelson (160078/02),"Полочка для туалетных принадлежностей Timo Nelson 160078/02, материал латунь, цвет антик.

## Характеристики:

- Коллекция: Nelson
- Назначение: Полочка в ванную
- Цвет аксессуара: Антик
- Материал: Латунь класса А
- Ширина: 28.5 см
- Высота: 6.5 см
- Глубина: 13 см

Комплектация:

- Полочка - 1 шт.
- Набор креплений - 1 шт.
- Инструкция - 1 шт.",TIMO,5122.0,0.0,10,https://static-ru.insales.ru/images/products/1/7311/486218895/medium_32354000-1.jpg https://static-ru.insales.ru/images/products/1/7313/486218897/medium_32354000-2.jpg,https://santitan.ru/product_by_id/269462061,Wildberries WB,269462061,467765631
764,KH-4511,Держатель туалетной бумаги KAISER бронза (цинк) (KH-4511),Практичное и стильное решение для современного интерьера. Элемент рассчитан на эксплуатацию в условиях постоянной влажности и смены температур.,KAISER,1620.0,0.0,5,https://static-ru.insales.ru/images/products/1/7265/486218849/medium_32353606-1.jpg,https://santitan.ru/product_by_id/269462062,Wildberries WB,269462062,467765634
765,KH-5072,Полка настенная(двойная) угловая KAISER 204*204*430*60 Black/латунь (KH-5072),Практичное и стильное решение для современного интерьера. Элемент рассчитан на эксплуатацию в условиях постоянной влажности и смены температур.,KAISER,9080.0,0.0,5,https://static-ru.insales.ru/images/products/1/7315/486218899/medium_32354192-1.jpg,https://santitan.ru/product_by_id/269462065,Wildberries WB,269462065,467765637
766,KH-4203,Мыльница (стекло) KAISER бронза (латунь) (KH-4203),Практичное и стильное решение для современного интерьера. Элемент рассчитан на эксплуатацию в условиях постоянной влажности и смены температур.,KAISER,1730.0,0.0,5,https://static-ru.insales.ru/images/products/1/7316/486218900/medium_32354283-1.jpg,https://santitan.ru/product_by_id/269462066,Wildberries WB,269462066,467765640
767,150075/00,Сушилка для белья Timo Nelson (150075/00),"Сушилка для белья вытяжная Timo Nelson 150075/00 Хром

## Характеристики:

- Коллекция: Nelson
- Назначение: Сушилка для белья
- Цвет аксессуара: Хром
- Материал: Латунь класса А
- Ширина: 9.2 см 
- Высота: 9.2 см 
- Длина: 5 см

Комплектация:

- Сушилка для белья (длина шнура 2,5 м) - 1 шт.
- Крепеж настенный - 1 шт.
- Набор креплений - 1 шт.
- Инструкция - 1 шт.",TIMO,1878.0,0.0,10,https://static-ru.insales.ru/images/products/1/7431/486219015/medium_32353529-1.jpg https://static-ru.insales.ru/images/products/1/7434/486219018/medium_32353529-2.jpg,https://santitan.ru/product_by_id/269462068,Wildberries WB,269462068,467765645
768,160012/02,Крючок двойной Timo Nelson (160012/02),"Крючок двойной в ванную комнату. Его можно использовать для халатов, для полотенец, для банных аксессуаров.

## Характеристики:

- Коллекция: Nelson
- Назначение:
- Цвет аксессуара: Антик
- Материал: Латунь класса А
- Ширина: 6.3 см 
- Высота: 7.1 см 
- Длина: 8.5 см

 ](https://timotrader.ru/assets/image/catalog/accesories/shem/150012%20(shema)%201600.jpg)[Комплектация:

- Крючок - 1 шт.
- Набор креплений - 1 шт.
- Инструкция - 1 шт.",TIMO,2476.0,0.0,10,https://static-ru.insales.ru/images/products/1/7440/486219024/medium_32353551-1.jpg https://static-ru.insales.ru/images/products/1/7442/486219026/medium_32353551-2.jpg,https://santitan.ru/product_by_id/269462071,Wildberries WB,269462071,467765651
769,17042/17,Бумагодержатель Timo Selene (17042/17) золото матовое,"Держатель для туалетной бумаги Timo Selene 17042/17, материал латунь, цвет золото матовое.

## Характеристики:

- Коллекция: Selene
- Назначение: Бумагодержатель
- Цвет аксессуара: Золото матовое
- Материал: Латунь класса А
- Размер: 4.4 х 6.8 х 14.5 см

Комплектация:

- Бумагодержатель - 1 шт.
- Набор креплений - 1 шт.",TIMO,4114.0,0.0,10,https://static-ru.insales.ru/images/products/1/7446/486219030/medium_32353567-1.jpg https://static-ru.insales.ru/images/products/1/7449/486219033/medium_32353567-2.jpg,https://santitan.ru/product_by_id/269462072,Wildberries WB,269462072,467765654
770,KH-2045,Держатель стакана(стекло) KAISER хром (латунь) (KH-2045),Практичное и стильное решение для современного интерьера. Элемент рассчитан на эксплуатацию в условиях постоянной влажности и смены температур.,KAISER,1550.0,0.0,5,https://static-ru.insales.ru/images/products/1/7496/486219080/medium_32353772-1.jpg https://static-ru.insales.ru/images/products/1/7500/486219084/medium_32353772-2.jpg,https://santitan.ru/product_by_id/269462074,Wildberries WB,269462074,467765658
771,55244x,Смеситель для кухонной мойки KAISER County (55244),Смеситель KAISER County для мойки.,KAISER,4310.0,0.0,0,https://static-ru.insales.ru/images/products/1/7577/486219161/medium_36406782-1.jpg https://static-ru.insales.ru/images/products/1/7578/486219162/medium_36406782-2.jpg,https://santitan.ru/product_by_id/269462075,Wildberries WB,269462075,467765664
772,LU16511,Полотенцедержатель RUSH Luson (LU16511),Практичное и стильное решение для современного интерьера. Элемент рассчитан на эксплуатацию в условиях постоянной влажности и смены температур.,RUSH,1350.0,0.0,10,https://static-ru.insales.ru/images/products/1/7437/486219021/medium_32353546-1.jpg https://static-ru.insales.ru/images/products/1/7438/486219022/medium_32353546-2.jpg,https://santitan.ru/product_by_id/269462078,Wildberries WB,269462078,467765667
773,KH-5070,Полка настенная(двойная) угловая KAISER 204*204*430*60 Chrome/латунь (KH-5070),Практичное и стильное решение для современного интерьера. Элемент рассчитан на эксплуатацию в условиях постоянной влажности и смены температур.,KAISER,7580.0,0.0,5,https://static-ru.insales.ru/images/products/1/7540/486219124/medium_32353853-1.jpg,https://santitan.ru/product_by_id/269462079,Wildberries WB,269462079,467765670
774,10014/00,Вешалка 2 крючка Timo Selene (10014/00),"Набор крючков в ванную комнату. Его можно использовать для халатов, для полотенец, для банных аксессуаров.

## Характеристики:

- Коллекция: Selene
- Назначение: Вешалка
- Цвет аксессуара: Хром
- Материал: латунь класса А

Комплектация:

- Вешалка - 1 шт.
- Набор креплений - 1 шт.",TIMO,2306.0,0.0,0,https://static-ru.insales.ru/images/products/1/7557/486219141/medium_32353983-1.jpg https://static-ru.insales.ru/images/products/1/7558/486219142/medium_32353983-2.jpg,https://santitan.ru/product_by_id/269462081,Wildberries WB,269462081,467765671
775,KH-2207,Держатель полотенца(прямой) KAISER хром (латунь) (KH-2207),Практичное и стильное решение для современного интерьера. Элемент рассчитан на эксплуатацию в условиях постоянной влажности и смены температур.,KAISER,2550.0,0.0,5,https://static-ru.insales.ru/images/products/1/7560/486219144/medium_32354008-1.jpg,https://santitan.ru/product_by_id/269462082,Wildberries WB,269462082,467765675
776,150023/00,Мыльница решетка Timo Nelson (150023/00),"Мыльница Timo Nelson 150023/00 с настенным держателем, материал латунь, цвет хром.

## Характеристики:

- Коллекция: Nelson
- Назначение: Мыльница
- Цвет аксессуара: Хром
- Материал: Латунь класса А
- Мыльница сделана из стекла
- Ширина: 14 см
- Высота: 6 см
- Длина: 11.9 см

Комплектация:

- Мыльница - 1 шт.
- Набор креплений - 1 шт.
- Инструкция - 1 шт.",TIMO,4524.0,0.0,10,https://static-ru.insales.ru/images/products/1/7562/486219146/medium_32354018-1.jpg https://static-ru.insales.ru/images/products/1/7563/486219147/medium_32354018-2.jpg,https://santitan.ru/product_by_id/269462084,Wildberries WB,269462084,467765677
777,150022/00,Полка для мочалок Timo Nelson (150022/00),"Полочка для туалетных принадлежностей Timo Nelson 150022/00, материал латунь, цвет хром.

## Характеристики

Коллекция: Nelson

- Назначение: Полочка в ванную
- Цвет аксессуара: Хром
- Материал: Латунь класса А
- Ширина: 21.5 см 
- Высота: 6 см 
- Длина: 18.3 см

Комплектация:

- Полочка - 1 шт.
- Набор креплений - 1 шт.
- Инструкция - 1 шт.",TIMO,4695.0,0.0,10,https://static-ru.insales.ru/images/products/1/7452/486219036/medium_32353579-1.jpg https://static-ru.insales.ru/images/products/1/7454/486219038/medium_32353579-2.jpg,https://santitan.ru/product_by_id/269462085,Wildberries WB,269462085,467765680
778,56055x,СМЕСИТЕЛЬ,Смеситель KAISER Oval для ванны с душем.,KAISER,7510.0,0.0,0,https://static-ru.insales.ru/images/products/1/7580/486219164/medium_36657999-1.jpg https://static-ru.insales.ru/images/products/1/7582/486219166/medium_36657999-2.jpg,https://santitan.ru/product_by_id/269462087,Wildberries WB,269462087,467765683
779,KH-4207,Держатель полотенца(прямой) KAISER бронза (латунь) (KH-4207),Практичное и стильное решение для современного интерьера. Элемент рассчитан на эксплуатацию в условиях постоянной влажности и смены температур.,KAISER,2880.0,0.0,5,https://static-ru.insales.ru/images/products/1/7460/486219044/medium_32353616-1.jpg https://static-ru.insales.ru/images/products/1/7461/486219045/medium_32353616-2.jpg,https://santitan.ru/product_by_id/269462089,Wildberries WB,269462089,467765686
780,150079/00,Полка Timo Nelson (150079/00),"Полочка для туалетных принадлежностей Timo Nelson 150079/00, материал латунь, цвет хром.

## Характеристики:

- Коллекция: Nelson
- Назначение: Полочка в ванную
- Цвет аксессуара: Хром
- Материал: Латунь класса А
- Ширина: 35.5 см 
- Высота: 6 см 
- Глубина: 13 см

Комплектация:

- Полочка - 1 шт.
- Набор креплений - 1 шт.
- Инструкция - 1 шт.",TIMO,5464.0,0.0,10,https://static-ru.insales.ru/images/products/1/7509/486219093/medium_32353778-1.jpg https://static-ru.insales.ru/images/products/1/7511/486219095/medium_32353778-2.jpg,https://santitan.ru/product_by_id/269462090,Wildberries WB,269462090,467765689
781,KH-2312,Держатель освежителя воздуха настенный KAISER хром (латунь) (KH-2312),Практичное и стильное решение для современного интерьера. Элемент рассчитан на эксплуатацию в условиях постоянной влажности и смены температур,KAISER,2880.0,0.0,5,https://static-ru.insales.ru/images/products/1/7566/486219150/medium_32354152-1.jpg,https://santitan.ru/product_by_id/269462093,Wildberries WB,269462093,467765695
782,160032/02,Стакан двойной Timo Nelson (160032/02),"Стакан двойной для зубных щеток Timo Nelson 160032/02 с настенным держателем, материал латунь/стекло, цвет антик.

## Характеристики:

Стакан сделан из стекла

- Коллекция: Nelson
- Назначение: Стакан для зубных щеток
- Цвет аксессуара: Антик
- Материал: Латунь класса А,стекло
- Стакан сделан из стекла
- Ширина: 16.7 см 
- Высота: 10.8 см 
- Длина: 11.3 см

Комплектация:

- Стакан стеклянный - 2 шт.
- Держатель для стакана - 1 шт.
- Набор креплений - 1 шт.
- Инструкция - 1 шт.",TIMO,5122.0,0.0,10,https://static-ru.insales.ru/images/products/1/7457/486219041/medium_32353590-1.jpg https://static-ru.insales.ru/images/products/1/7458/486219042/medium_32353590-2.jpg,https://santitan.ru/product_by_id/269462094,Wildberries WB,269462094,467765702
783,GR-3002,Полотенцедержатель трубчатый двойной Grampus Briz GR-3002,Практичное и стильное решение для современного интерьера. Элемент рассчитан на эксплуатацию в условиях постоянной влажности и смены температур,Grampus,1440.0,0.0,5,https://static-ru.insales.ru/images/products/1/7462/486219046/medium_32353661-1.jpg,https://santitan.ru/product_by_id/269462096,Wildberries WB,269462096,467765706
784,KH-4105,Держатель стакана(стекло) KAISER бронза (латунь) (KH-4105),Практичное и стильное решение для современного интерьера. Элемент рассчитан на эксплуатацию в условиях постоянной влажности и смены температур,KAISER,1560.0,0.0,5,https://static-ru.insales.ru/images/products/1/7465/486219049/medium_32353669-1.jpg,https://santitan.ru/product_by_id/269462098,Wildberries WB,269462098,467765712
785,KH-4705,Держатель стакана(стекло) KAISER бронза (цинк) (KH-4705),"Держатель стакана(стекло) KAISER бронза (цинк) (KH-4705)

Практичное и стильное решение для современного интерьера. Элемент рассчитан на эксплуатацию в условиях постоянной влажности и смены температур.",KAISER,1370.0,0.0,5,https://static-ru.insales.ru/images/products/1/7552/486219136/medium_32353918-1.jpg,https://santitan.ru/product_by_id/269462099,Wildberries WB,269462099,467765715
786,150077/00,Полка угловая Timo Nelson (150077/00),"Полочка для туалетных принадлежностей Timo Nelson 150077/00, материал латунь, цвет хром.

## Характеристики:

- Коллекция: Nelson
- Назначение: Полочка в ванную
- Цвет аксессуара: Хром
- Материал: Латунь класса А
- **Ширина:** 20 см
- **Высота:** 5.6 см
- **Глубина:** 20 см

Комплектация:

- Полочка - 1 шт.
- Набор креплений - 1 шт.
- Инструкция - 1 шт.",TIMO,4440.0,0.0,0,https://static-ru.insales.ru/images/products/1/7570/486219154/medium_32354205-1.jpg https://static-ru.insales.ru/images/products/1/7571/486219155/medium_32354205-2.jpg,https://santitan.ru/product_by_id/269462102,Wildberries WB,269462102,467765721
787,KH-4501,Держатель полотенца KAISER бронза (цинк) (KH-4501),Практичное и стильное решение для современного интерьера. Элемент рассчитан на эксплуатацию в условиях постоянной влажности и смены температур.,KAISER,1780.0,0.0,5,https://static-ru.insales.ru/images/products/1/7470/486219054/medium_32353689-1.jpg https://static-ru.insales.ru/images/products/1/7472/486219056/medium_32353689-2.jpg,https://santitan.ru/product_by_id/269462104,Wildberries WB,269462104,467765728
788,10041/00,Бумагодержатель Timo Selene (10041/00),"Бумагодержатель Timo Selene 10041/00 , материал латунь, цвет хром.

## Характеристики:

- Коллекция: Selene
- Назначение: Бумагодержатель
- Цвет аксессуара: Хром
- Материал: латунь класса А

Комплектация:

- Бумагодержатель - 1 шт.
- Набор креплений - 1 шт.",TIMO,2219.0,0.0,10,https://static-ru.insales.ru/images/products/1/7476/486219060/medium_32353718-1.jpg https://static-ru.insales.ru/images/products/1/7479/486219063/medium_32353718-2.jpg,https://santitan.ru/product_by_id/269462106,Wildberries WB,269462106,467765733
789,KH-5052,Полка настенная прямоугольная KAISER 355*130*50 (30) Black/латунь (KH-5052),Практичное и стильное решение для современного интерьера. Элемент рассчитан на эксплуатацию в условиях постоянной влажности и смены температур.,KAISER,4950.0,0.0,5,https://static-ru.insales.ru/images/products/1/7492/486219076/medium_32353752-1.jpg https://static-ru.insales.ru/images/products/1/7493/486219077/medium_32353752-2.jpg,https://santitan.ru/product_by_id/269462109,Wildberries WB,269462109,467765741
790,160080/02,Полка с крючком Timo Nelson (160080/02),"Полочка для туалетных принадлежностей Timo Nelson 160080/02 с крючком, материал латунь, цвет антик.

## Характеристики:

- Коллекция: Nelson
- Назначение: Полочка в ванную
- Цвет аксессуара: Антик
- Материал: латунь класса А
- Количество крючков: 1 
- Ширина: 26.1 см 
- Высота: 6 см 
- Глубина: 12 см

Комплектация:

- Полка - 1 шт.
- Набор креплений - 1 шт.
- Инструкция - 1 шт.",TIMO,5634.0,0.0,10,https://static-ru.insales.ru/images/products/1/7505/486219089/medium_32353776-1.jpg https://static-ru.insales.ru/images/products/1/7506/486219090/medium_32353776-2.jpg,https://santitan.ru/product_by_id/269462110,Wildberries WB,269462110,467765745
791,KH-1034,Держатель мыльницы(металл) KAISER хром (нерж) (KH-1034),Практичное и стильное решение для современного интерьера. Элемент рассчитан на эксплуатацию в условиях постоянной влажности и смены температур.,KAISER,1590.0,0.0,5,https://static-ru.insales.ru/images/products/1/7507/486219091/medium_32353777-1.jpg https://static-ru.insales.ru/images/products/1/7508/486219092/medium_32353777-2.jpg,https://santitan.ru/product_by_id/269462112,Wildberries WB,269462112,467765750
792,KH-4001,Держатель полотенца KAISER бронза (латунь) (KH-4001),Практичное и стильное решение для современного интерьера. Элемент рассчитан на эксплуатацию в условиях постоянной влажности и смены температур.,KAISER,1710.0,0.0,5,https://static-ru.insales.ru/images/products/1/7482/486219066/medium_32353727-1.jpg https://static-ru.insales.ru/images/products/1/7485/486219069/medium_32353727-2.jpg,https://santitan.ru/product_by_id/269462114,Wildberries WB,269462114,467765755
793,10056/00,Полотенцедержатель двойной Timo Selene (10056/00),"Полотенцедержатель Timo Selene 10056/00, материал латунь, цвет хром.

## Характеристики:

- Коллекция: Selene
- Назначение: Полотенцедержатель
- Цвет аксессуара: Хром
- Материал: латунь класса А

Комплектация:

- Полотенцедержатель - 1 шт.
- Набор креплений - 1 шт.",TIMO,4865.0,0.0,10,https://static-ru.insales.ru/images/products/1/7487/486219071/medium_32353744-1.jpg https://static-ru.insales.ru/images/products/1/7489/486219073/medium_32353744-2.jpg,https://santitan.ru/product_by_id/269462116,Wildberries WB,269462116,467765760
794,KH-4103,Держатель мыльницы(стекло) KAISER бронза (латунь) (KH-4103),Практичное и стильное решение для современного интерьера. Элемент рассчитан на эксплуатацию в условиях постоянной влажности и смены температур.,KAISER,1560.0,0.0,5,https://static-ru.insales.ru/images/products/1/7501/486219085/medium_32353773-1.jpg https://static-ru.insales.ru/images/products/1/7504/486219088/medium_32353773-2.jpg,https://santitan.ru/product_by_id/269462118,Wildberries WB,269462118,467765764
795,150021/00,Мыльница стекло Timo Nelson (150021/00),"Мыльница Timo Nelson 150021/00 с настенным держателем, материал латунь/стекло, цвет хром.

## Характеристики:

Коллекция: Nelson

- Назначение: Мыльница
- Цвет аксессуара: Хром
- Материал: Латунь класса А
- Мыльница сделана из стекла
- Ширина: 12.9 см
- Высота: 6.1 см
- Длина: 14.7 см

Комплектация:

- Мыльница стеклянная - 1 шт.
- Держатель мыльницы - 1 шт.
- Набор креплений - 1 шт.
- Инструкция - 1 шт.",TIMO,2647.0,0.0,10,https://static-ru.insales.ru/images/products/1/7547/486219131/medium_32353897-1.jpg https://static-ru.insales.ru/images/products/1/7549/486219133/medium_32353897-2.jpg,https://santitan.ru/product_by_id/269462120,Wildberries WB,269462120,467765767
796,KH-2040,Держатель туалетной бумаги KAISER хром (нерж) (KH-2040),Практичное и стильное решение для современного интерьера. Элемент рассчитан на эксплуатацию в условиях постоянной влажности и смены температур.,KAISER,1950.0,0.0,5,https://static-ru.insales.ru/images/products/1/7567/486219151/medium_32354186-1.jpg,https://santitan.ru/product_by_id/269462122,Wildberries WB,269462122,467765770
797,61222x,СМЕСИТЕЛЬ,Смеситель KAISER Stone для ванны.,KAISER,15750.0,0.0,0,https://static-ru.insales.ru/images/products/1/7583/486219167/medium_36658955-1.jpg https://static-ru.insales.ru/images/products/1/7585/486219169/medium_36658955-2.jpg,https://santitan.ru/product_by_id/269462123,Wildberries WB,269462123,467765772
798,160013/02,Крючок двойной Timo Nelson (160013/02),"Крючок Timo Nelson 160013/02, материал латунь, цвет антик.

## Характеристики:

- Коллекция: Nelson
- Назначение: Вешалка
- Цвет аксессуара: Антик
- Материал: Латунь класса А
- Ширина: 6 см 
- Высота: 12 см 
- Длина: 10.9 см

Комплектация:

- Вешалка - 1 шт.
- Набор креплений - 1 шт.
- Инструкция - 1 шт.",TIMO,2561.0,0.0,10,https://static-ru.insales.ru/images/products/1/7494/486219078/medium_32353765-1.jpg https://static-ru.insales.ru/images/products/1/7495/486219079/medium_32353765-2.jpg,https://santitan.ru/product_by_id/269462126,Wildberries WB,269462126,467765776
799,10011/00,Крючок Timo Selene (10011/00),"Крючок в ванную комнату. Его можно использовать для халатов, для полотенец, для банных аксессуаров.

## Характеристики:

- Коллекция: Selene
- Назначение: Крючок
- Цвет аксессуара: Хром
- Материал: латунь класса А

Комплектация:

- Крючок - 1 шт.
- Набор креплений - 1 шт.
- Инструкция - 1 шт.",TIMO,1365.0,0.0,10,https://static-ru.insales.ru/images/products/1/7521/486219105/medium_32353787-1.jpg https://static-ru.insales.ru/images/products/1/7522/486219106/medium_32353787-2.jpg,https://santitan.ru/product_by_id/269462127,Wildberries WB,269462127,467765781
800,H0004,Планка KAISER с 4-мя крючками (H0004),Практичное и стильное решение для современного интерьера. Элемент рассчитан на эксплуатацию в условиях постоянной влажности и смены температур.,KAISER,1530.0,0.0,0,https://static-ru.insales.ru/images/products/1/7523/486219107/medium_32353804-1.jpg,https://santitan.ru/product_by_id/269462129,Wildberries WB,269462129,467765785
801,150081/00,Полка с крючками Timo Nelson (150081/00),"Полочка для туалетных принадлежностей Timo Nelson 150081/00 с крючками, материал латунь, цвет хром.

## Характеристики:

- Коллекция: Nelson
- Назначение: Полочка в ванную
- Цвет аксессуара: Хром
- Материал: Латунь класса А
- Количество крючков: 2 
- Ширина: 30 см 
- Высота: 7.5 см 
- Глубина: 16.2 см

Комплектация:

- Полка - 1 шт.
- Набор креплений - 1 шт.
- Инструкция - 1 шт.",TIMO,5122.0,0.0,10,https://static-ru.insales.ru/images/products/1/7541/486219125/medium_32353856-1.jpg https://static-ru.insales.ru/images/products/1/7542/486219126/medium_32353856-2.jpg,https://santitan.ru/product_by_id/269462133,Wildberries WB,269462133,467765792
802,150044/00,Бумагодержатель Timo Nelson (150044/00),"Держатель для туалетной бумаги Timo Nelson 150044/00, материал латунь, цвет хром.

## Характеристики:

- Коллекция: Nelson
- Назначение: Бумагодержатель
- Цвет аксессуара: Хром
- Материал: Латунь класса А
- Ширина: 7 см
- Высота: 18.1 см
- Длина: 11 см

Комплектация:

- Бумагодержатель - 1 шт.
- Набор креплений - 1 шт.
- Инструкция - 1 шт.",TIMO,3244.0,0.0,10,https://static-ru.insales.ru/images/products/1/7553/486219137/medium_32353948-1.jpg https://static-ru.insales.ru/images/products/1/7554/486219138/medium_32353948-2.jpg,https://santitan.ru/product_by_id/269462136,Wildberries WB,269462136,467765796
803,CR35532,Полотенцедержатель двойной 60см. RUSH Crete (CR35532),Практичное и стильное решение для современного интерьера. Элемент рассчитан на эксплуатацию в условиях постоянной влажности и смены температур.,RUSH,4279.0,0.0,10,https://static-ru.insales.ru/images/products/1/7513/486219097/medium_32353784-1.jpg https://static-ru.insales.ru/images/products/1/7515/486219099/medium_32353784-2.jpg,https://santitan.ru/product_by_id/269462137,Wildberries WB,269462137,467765801
804,KH-5071,Полка настенная(двойная) угловая KAISER 204*204*430*60 Bronze/латунь (KH-5071),Практичное и стильное решение для современного интерьера. Элемент рассчитан на эксплуатацию в условиях постоянной влажности и смены температур.,KAISER,9080.0,0.0,5,https://static-ru.insales.ru/images/products/1/7555/486219139/medium_32353959-1.jpg,https://santitan.ru/product_by_id/269462138,Wildberries WB,269462138,467765807
805,160077/02,Полка угловая Timo Nelson (160077/02),"Полочка для туалетных принадлежностей Timo Nelson 160077/02, материал латунь, цвет антик.

## Характеристики:

- Коллекция: Nelson
- Назначение: Полочка в ванную
- Цвет аксессуара: Антик
- Материал: Латунь класса А
- Ширина: 20 см
- Высота: 5.6 см
- Глубина: 20 см

Комплектация:

- Полочка - 1 шт.
- Набор креплений - 1 шт.
- Инструкция - 1 шт.",TIMO,5292.0,0.0,10,https://static-ru.insales.ru/images/products/1/7572/486219156/medium_32354225-1.jpg https://static-ru.insales.ru/images/products/1/7574/486219158/medium_32354225-2.jpg,https://santitan.ru/product_by_id/269462140,Wildberries WB,269462140,467765812
806,KH-2006,Держатель для туалетной щетки(ершик) настенный KAISER хром (латунь) (KH-2006),Практичное и стильное решение для современного интерьера. Элемент рассчитан на эксплуатацию в условиях постоянной влажности и смены температур.,KAISER,2740.0,0.0,5,https://static-ru.insales.ru/images/products/1/7575/486219159/medium_32354294-1.jpg,https://santitan.ru/product_by_id/269462142,Wildberries WB,269462142,467765819
807,423003,Коврик для ванной,"- Материал: силикон
- Размеры: 66х39 см
- На присосках
- Цвет: розовый.",Zalel,748.0,0.0,0,https://static-ru.insales.ru/images/products/1/7576/486219160/medium_33308703-1.jpg,https://santitan.ru/product_by_id/269462143,Wildberries WB,269462143,467765823
808,KH-4008,Держатель полотенца(прямой) двойной KAISER бронза (латунь) (KH-4008),Практичное и стильное решение для современного интерьера. Элемент рассчитан на эксплуатацию в условиях постоянной влажности и смены температур.,KAISER,3630.0,0.0,5,https://static-ru.insales.ru/images/products/1/7518/486219102/medium_32353786-1.jpg https://static-ru.insales.ru/images/products/1/7519/486219103/medium_32353786-2.jpg,https://santitan.ru/product_by_id/269462146,Wildberries WB,269462146,467765831
809,GR-7802,Полотенцедержатель трубчатый двойной Grampus Laguna GR-7802,Практичное и стильное решение для современного интерьера. Элемент рассчитан на эксплуатацию в условиях постоянной влажности и смены температур.,Grampus,1440.0,0.0,5,https://static-ru.insales.ru/images/products/1/7537/486219121/medium_32353848-1.jpg https://static-ru.insales.ru/images/products/1/7538/486219122/medium_32353848-2.jpg https://static-ru.insales.ru/images/products/1/7539/486219123/medium_32353848-3.jpg,https://santitan.ru/product_by_id/269462148,Wildberries WB,269462148,467765840
810,KH-2001,Держатель полотенца KAISER хром (латунь) (KH-2001),Практичное и стильное решение для современного интерьера. Элемент рассчитан на эксплуатацию в условиях постоянной влажности и смены температур.,KAISER,1590.0,0.0,5,https://static-ru.insales.ru/images/products/1/7550/486219134/medium_32353907-1.jpg,https://santitan.ru/product_by_id/269462151,Wildberries WB,269462151,467765849
811,KH-4210,Дозатор для жидкого мыла настенный (стекло) бронза (латунь) (KH-4210),Практичное и стильное решение для современного интерьера. Элемент рассчитан на эксплуатацию в условиях постоянной влажности и смены температур.,KAISER,2060.0,0.0,5,https://static-ru.insales.ru/images/products/1/7564/486219148/medium_32354021-1.jpg,https://santitan.ru/product_by_id/269462154,Wildberries WB,269462154,467765855
812,KH-1503,Держатель мыльницы(стекло) KAISER хром (цинк) (KH-1503),Практичное и стильное решение для современного интерьера. Элемент рассчитан на эксплуатацию в условиях постоянной влажности и смены температур.,KAISER,1260.0,0.0,5,https://static-ru.insales.ru/images/products/1/7565/486219149/medium_32354127-1.jpg,https://santitan.ru/product_by_id/269462156,Wildberries WB,269462156,467765859
813,KH-4015,Держатель стаканов двойной(стекло) KAISER бронза (латунь) (KH-4015),Практичное и стильное решение для современного интерьера. Элемент рассчитан на эксплуатацию в условиях постоянной влажности и смены температур.,KAISER,2280.0,0.0,5,https://static-ru.insales.ru/images/products/1/7526/486219110/medium_32353808-1.jpg https://static-ru.insales.ru/images/products/1/7529/486219113/medium_32353808-2.jpg,https://santitan.ru/product_by_id/269462158,Wildberries WB,269462158,467765864
814,KH-2047,Держатель полотенца(прямой) KAISER хром (нерж) (KH-2047),Практичное и стильное решение для современного интерьера. Элемент рассчитан на эксплуатацию в условиях постоянной влажности и смены температур.,KAISER,2770.0,0.0,5,https://static-ru.insales.ru/images/products/1/7531/486219115/medium_32353811-1.jpg https://static-ru.insales.ru/images/products/1/7534/486219118/medium_32353811-2.jpg,https://santitan.ru/product_by_id/269462160,Wildberries WB,269462160,467765875
815,KH-1707,Держатель полотенца(прямой) KAISER хром (цинк) (KH-1707),"Держатель полотенца(прямой) KAISER хром (цинк) (KH-1707)

Практичное и стильное решение для современного интерьера. Элемент рассчитан на эксплуатацию в условиях постоянной влажности и смены температур.",KAISER,1430.0,0.0,5,https://static-ru.insales.ru/images/products/1/7536/486219120/medium_32353823-1.jpg,https://santitan.ru/product_by_id/269462163,Wildberries WB,269462163,467765881
816,KH-4305,Держатель стакана(стекло) KAISER бронза (латунь) (KH-4305),Практичное и стильное решение для современного интерьера. Элемент рассчитан на эксплуатацию в условиях постоянной влажности и смены температур.,KAISER,1930.0,0.0,5,https://static-ru.insales.ru/images/products/1/7544/486219128/medium_32353874-1.jpg,https://santitan.ru/product_by_id/269462166,Wildberries WB,269462166,467765886
